away_team_abbr,home_team_abbr,date,start_time,day_night,venue,field_type,away_team_errors,home_team_errors,away_team_hits,home_team_hits,away_team_runs,home_team_runs,game_id
LAA,MIL,2024-03-18,20:10,D,American Family Fields of Phoenix,outdoor,0,3,5,9,3,4,LAAMIL20240318D
SF,CIN,2024-03-19,01:05,N,Goodyear Ballpark,outdoor,0,0,6,9,4,2,SFCIN20240319N
SEA,TEX,2024-03-18,20:05,D,Surprise Stadium,outdoor,0,0,13,11,9,5,SEATEX20240318D
OAK,AZ,2024-03-18,20:10,D,Salt River Fields at Talking Stick,outdoor,0,1,12,9,3,3,OAKAZ20240318D
HOU,MIA,2024-03-18,17:10,D,Roger Dean Stadium,outdoor,1,1,11,11,5,6,HOUMIA20240318D
WSH,HOU,2024-03-18,22:05,N,CACTI Park of the Palm Beaches,outdoor,0,3,13,5,10,1,WSHHOU20240318N
ATL,TB,2024-03-18,17:05,D,Charlotte Sports Park,outdoor,1,2,8,9,3,7,ATLTB20240318D
PIT,PHI,2024-03-18,17:05,D,BayCare Ballpark,outdoor,3,0,16,9,11,2,PITPHI20240318D
KOR,LAD,2024-03-18,10:00,N,Gocheok Sky Dome,indoor,0,1,5,6,2,5,KORLAD20240318N
CLE,CWS,2024-03-18,20:05,D,Camelback Ranch,outdoor,0,0,12,8,8,5,CLECWS20240318D
MIA,HOU,2024-03-19,22:05,N,CACTI Park of the Palm Beaches,outdoor,1,2,6,9,3,3,MIAHOU20240319N
AZ,CHC,2024-03-20,01:05,N,Sloan Park,outdoor,0,0,9,6,4,1,AZCHC20240320N
BAL,TOR,2024-03-19,17:07,D,TD Ballpark,outdoor,1,1,17,11,13,8,BALTOR20240319D
COL,SEA,2024-03-19,20:10,D,Peoria Sports Complex,outdoor,0,0,10,18,3,12,COLSEA20240319D
MIL,CLE,2024-03-19,20:05,D,Goodyear Ballpark,outdoor,0,0,6,11,8,5,MILCLE20240319D
CLE,COL,2024-03-19,20:10,D,Salt River Fields at Talking Stick,outdoor,4,1,11,12,8,8,CLECOL20240319D
PHI,DET,2024-03-19,22:05,N,Publix Field at Joker Marchant Stadium,outdoor,1,1,4,3,0,0,PHIDET20240319N
OAK,TEX,2024-03-19,20:05,D,Surprise Stadium,outdoor,4,0,9,8,7,7,OAKTEX20240319D
KC,SF,2024-03-20,02:05,N,Scottsdale Stadium,outdoor,1,1,13,9,8,9,KCSF20240320N
CIN,LAA,2024-03-19,20:10,D,Tempe Diablo Stadium,outdoor,0,0,9,12,6,10,CINLAA20240319D
MIA,STL,2024-03-19,17:05,D,Roger Dean Stadium,outdoor,1,2,13,9,10,11,MIASTL20240319D
STL,NYM,2024-03-19,22:10,N,Clover Park,outdoor,0,1,5,5,1,3,STLNYM20240319N
TB,BOS,2024-03-19,17:05,D,JetBlue Park,outdoor,0,0,6,10,2,5,TBBOS20240319D
SF,LAA,2024-03-20,20:10,D,Tempe Diablo Stadium,outdoor,0,0,10,7,5,2,SFLAA20240320D
LAA,KC,2024-03-21,01:05,N,Surprise Stadium,outdoor,0,1,9,10,8,8,LAAKC20240321N
DET,MIN,2024-03-20,17:05,D,CenturyLink Sports Complex,outdoor,0,1,14,7,12,3,DETMIN20240320D
PIT,NYY,2024-03-20,22:35,N,George M. Steinbrenner Field,outdoor,0,0,4,14,0,12,PITNYY20240320N
NYM,MIA,2024-03-20,17:10,D,Roger Dean Stadium,outdoor,3,0,8,4,6,3,NYMMIA20240320D
CHC,OAK,2024-03-20,20:05,D,Hohokam Stadium,outdoor,0,1,1,6,1,3,CHCOAK20240320D
PHI,BAL,2024-03-20,22:05,N,Ed Smith Stadium,outdoor,1,1,7,12,4,13,PHIBAL20240320N
CIN,CWS,2024-03-20,20:05,D,Camelback Ranch,outdoor,2,1,3,10,3,1,CINCWS20240320D
TOR,ATL,2024-03-20,17:05,D,CoolToday Park,outdoor,2,3,10,11,9,10,TORATL20240320D
COL,AZ,2024-03-20,20:10,D,Salt River Fields at Talking Stick,outdoor,0,1,3,7,1,5,COLAZ20240320D
TEX,CIN,2024-03-20,20:05,D,Goodyear Ballpark,outdoor,1,2,10,7,8,1,TEXCIN20240320D
LAD,SD,2024-03-20,10:05,N,Gocheok Sky Dome,indoor,0,2,7,4,5,2,LADSD20240320N
STL,WSH,2024-03-20,22:05,N,CACTI Park of the Palm Beaches,outdoor,0,3,15,10,13,4,STLWSH20240320N
MIN,WSH,2024-03-21,17:05,D,CACTI Park of the Palm Beaches,outdoor,1,1,13,9,8,9,MINWSH20240321D
BAL,BOS,2024-03-21,22:05,N,JetBlue Park,outdoor,0,1,6,8,2,3,BALBOS20240321N
NYY,ATL,2024-03-21,17:05,D,CoolToday Park,outdoor,2,1,5,9,2,5,NYYATL20240321D
